T_Set,Thermostate_Switch,T_Room
19,0,20.3893
19,0,20.3817
19,0,20.374
19,0,20.366
19,0,20.3575
19,0,20.3488
19,0,20.3399
19,0,20.3309
19,0,20.3216
19,0,20.3121
19,0,20.3025
19,0,20.2926
19,0,20.2826
19,0,20.2724
19,0,20.2621
19,0,20.2515
19,0,20.2407
19,0,20.2298
19,0,20.2186
19,0,20.2073
19,0,20.1959
19,0,20.1843
19,0,20.1725
19,0,20.1606
19,0,20.1486
19,0,20.1364
19,0,20.1241
19,0,20.1116
19,0,20.0989
19,0,20.086
19,0,20.0731
19,0,20.06
19,0,20.0467
19,0,20.0334
19,0,20.0199
19,0,20.0063
19,0,19.9926
19,0,19.9788
19,0,19.9649
19,0,19.9508
19,0,19.9365
19,0,19.922
19,0,19.9075
19,0,19.8928
19,0,19.8781
19,0,19.8632
19,0,19.8483
19,0,19.8332
19,0,19.8181
19,0,19.8029
19,0,19.7876
19,0,19.7722
19,0,19.7565
19,0,19.7408
19,0,19.7249
19,0,19.709
19,0,19.693
19,0,19.677
19,0,19.6608
19,0,19.6446
19,0,19.6284
19,0,19.612
19,0,19.5956
19,0,19.5792
19,0,19.5625
19,0,19.5458
19,0,19.5291
19,0,19.5123
19,0,19.4954
19,0,19.4785
19,0,19.4615
19,0,19.4445
19,0,19.4274
19,0,19.4102
19,0,19.393
19,0,19.3758
19,0,19.3585
19,0,19.3412
19,0,19.3238
19,0,19.3064
19,0,19.2889
19,0,19.2714
19,0,19.2539
19,0,19.2363
19,0,19.2187
19,0,19.201
19,0,19.1833
19,0,19.1656
19,0,19.1479
19,0,19.1301
19,0,19.1122
19,0,19.0944
19,0,19.0765
19,0,19.0586
19,0,19.0406
19,0,19.0226
19,0,19.0046
19,0,18.9866
19,0,18.9686
19,0,18.9505
19,0,18.9324
19,0,18.9143
19,0,18.8961
19,0,18.878
19,0,18.8598
19,0,18.8416
19,0,18.8234
19,0,18.8051
19,0,18.7869
19,0,18.7686
19,0,18.7503
19,0,18.732
19,0,18.7137
19,0,18.6954
19,0,18.6771
19,0,18.6587
19,0,18.6404
19,0,18.622
19,0,18.6036
19,0,18.5853
19,0,18.5669
19,0,18.5485
19,0,18.5301
19,0,18.5116
19,0,18.4932
19,1,18.4748
19,1,18.4597
19,1,18.448
19,1,18.4396
19,1,18.4344
19,1,18.4323
19,1,18.4334
19,1,18.4376
19,1,18.4448
19,1,18.4551
19,1,18.4682
19,1,18.4841
19,1,18.5025
19,1,18.523
19,1,18.5456
19,1,18.5699
19,1,18.5959
19,1,18.6232
19,1,18.6519
19,1,18.6817
19,1,18.7125
19,1,18.7443
19,1,18.7768
19,1,18.81
19,1,18.8439
19,1,18.8783
19,1,18.9131
19,1,18.9484
19,1,18.984
19,1,19.0198
19,1,19.0559
19,1,19.0923
19,1,19.1287
19,1,19.1653
19,1,19.202
19,1,19.2387
19,1,19.2754
19,1,19.3122
19,1,19.3489
19,1,19.3856
19,1,19.4222
19,1,19.4587
19,1,19.4952
19,1,19.5315
19,0,19.5678
19,0,19.6031
19,0,19.6377
19,0,19.6714
19,0,19.7043
19,0,19.7363
19,0,19.7676
19,0,19.7981
19,0,19.8279
19,0,19.8568
19,0,19.885
19,0,19.9125
19,0,19.9393
19,0,19.9653
19,0,19.9906
19,0,20.0152
19,0,20.0391
19,0,20.0624
19,0,20.0849
19,0,20.1069
19,0,20.1281
19,0,20.1487
19,0,20.1687
19,0,20.1881
19,0,20.2069
19,0,20.225
19,0,20.2426
19,0,20.2595
19,0,20.2759
19,0,20.2917
19,0,20.307
19,0,20.3217
19,0,20.3358
19,0,20.3494
19,0,20.3625
19,0,20.3751
19,0,20.3871
19,0,20.3986
19,0,20.4097
19,0,20.4202
19,0,20.4303
19,0,20.4398
19,0,20.4489
19,0,20.4576
19,0,20.4658
19,0,20.4735
19,0,20.4808
19,0,20.4876
19,0,20.494
19,0,20.5
19,0,20.5056
19,0,20.5108
19,0,20.5155
19,0,20.5199
19,0,20.5238
19,0,20.5274
19,0,20.5306
19,0,20.5334
19,0,20.5358
19,0,20.5379
19,0,20.5396
19,0,20.541
19,0,20.542
19,0,20.5426
19,0,20.543
19,0,20.543
19,0,20.5426
19,0,20.542
19,0,20.541
19,0,20.5397
19,0,20.5381
19,0,20.5362
19,0,20.534
19,0,20.5315
19,0,20.5287
19,0,20.5256
19,0,20.5223
19,0,20.5186
19,0,20.5147
19,0,20.5106
19,0,20.5061
19,0,20.5014
19,0,20.4965
19,0,20.4913
19,0,20.4858
19,0,20.4801
19,0,20.4742
19,0,20.468
19,0,20.4616
19,0,20.4549
19,0,20.4481
19,0,20.441
19,0,20.4337
19,0,20.4262
19,0,20.4184
19,0,20.4105
19,0,20.4024
19,0,20.394
19,0,20.3855
19,0,20.3767
19,0,20.3678
19,0,20.3587
19,0,20.3494
19,0,20.3399
19,0,20.3303
19,0,20.3204
19,0,20.3104
19,0,20.3003
19,0,20.2899
19,0,20.2794
19,0,20.2687
19,0,20.2579
19,0,20.2469
19,0,20.2358
19,0,20.2245
19,0,20.213
19,0,20.2015
19,0,20.1897
19,0,20.1779
19,0,20.1659
19,0,20.1537
19,0,20.1414
19,0,20.129
19,0,20.1165
19,0,20.1038
19,0,20.091
19,0,20.0781
